name,position,b,t,class,school,division,state,hometown,stats_link
Franco Barbieri,OF,L,R,Freshman,North Iowa Area,JUCO: Division 2,IA,"Brampton, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div2/players/francobarbieriyfgl?view=gamelog&pos=h
David Barron,"LHP,1B",,,Freshman,South Suburban,JUCO: Division 1,IL,Manitoba,"https://stats.njcaa.org/sports/bsb/2020-21/div1/players/davidbarronaw1i?view=gamelog&pos=h,https://stats.njcaa.org/sports/bsb/2020-21/div1/players/davidbarronaw1i?view=gamelog&pos=p"
Lukas Barry,RHP,R,R,Freshman,Connors State,JUCO: Division 1,OK,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/lukasbarry5da6?view=gamelog&pos=p
Liam Bates,RHP,,,Freshman,Cloud County,JUCO: Division 1,KS,"Vancouver, British Columbia",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/liambates98kn?view=gamelog&pos=p
Kyle Baumgardt,RHP,,,Freshman,Columbia Basin,NW Athletic Conference,WA,Alberta,https://nwacsports.com/sports/bsb/2020-21/players/kylebaumgardtf70h?view=gamelog&pos=p
Kayden Beauregard,C,,,Freshman,Cloud County,JUCO: Division 1,KS,"Abottsford, British Columbia",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/kaydenbeauregardci4a?view=gamelog&pos=h
Jason Begin,OF,R,R,Freshman,Southwestern Oklahoma State University,NCAA: Division 2,OK,"Sherbrooke, Quebec",http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=8744&stats_player_seq=2474713
Ryan Beitel,RHP/IF,R,R,Freshman,University of British Columbia,NAIA,BC,"Surrey, British Columbia",
Andrew Bench,RHP,,,Freshman,Niagara County,JUCO: Division 3,NY,"Fonthill, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/andrewbenchpnbj?view=gamelog&pos=p
Ardan Berg,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Victoria, British Columbia",
Rushil Bhat,RHP,R,R,Freshman,Central Michigan University,NCAA: Division 1,MI,"London, Ontario",http://web1.ncaa.org/stats/StatsSrv/careerplayer?doWhat=display&playerId=2336988&coachId=&academicYear=2021&sportCode=MBA&division=1&orgId=129
Bryn Biemiller,RHP,R,R,Freshman,Lourdes University,NAIA,OH,"Newmarket, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=18711&plr=186793
Benjamin Bierd,IF,R,R,Freshman,Bay College,JUCO: Division 2,MI,"Montreal, Quebec",https://www.njcaa.org/sports/bsb/2020-21/div2/players/benjaminbierdycip?view=gamelog&pos=h
Brody Black,OF,R,R,Freshman,Dawson,JUCO: Division 2,MT,Ontario,https://stats.njcaa.org/sports/bsb/2020-21/div2/players/brodyblack0jz0?view=gamelog&pos=h
Logan Blumhagen,LHP,L,L,Freshman,William Woods University,NAIA,MO,Alberta,http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1824&plr=182352
Emile Boies,SS,L,R,Freshman,Northeastern Oklahoma A&M,JUCO: Division 1,OK,"Quebec, Quebec",https://www.njcaa.org/sports/bsb/2020-21/div1/players/emileboies4zi1?view=gamelog&pos=h
Mathew Bomersback,RHP,R,R,Freshman,Dawson,JUCO: Division 2,MT,Quebec,https://stats.njcaa.org/sports/bsb/2020-21/div2/players/mathewbomersbackesi8?view=gamelog&pos=p
Pier-Olivier Boucher,OF,L,R,Freshman,Indian Hills,JUCO: Division 1,IA,Quebec,https://www.njcaa.org/sports/bsb/2020-21/div1/players/pierolivierboucherlkkq?view=gamelog&pos=h
Justin Bradt,LHP,,,Freshman,Cleveland State,JUCO: Division 1,TN,"Burlington, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/justinbradtvux9?view=gamelog&pos=p
Cal Brazier,INF,,,Freshman,Niagara County,JUCO: Division 3,NY,"Oshawa, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/calbraziervrww?view=gamelog&pos=h
Justin Breen,IF,R,R,Freshman,Bossier Parish,JUCO: Division 1,LA,"Fort McMurry, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/justinbreenym9h?view=gamelog&pos=h
Teddy Brimblecombe,RHP,R,R,Freshman,Albion College,NCAA: Division 3,MI,"Kitchener, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=15&stats_player_seq=2509552&year_stat_category_id=14841
Chance Brown,RHP,R,R,Freshman,Central Alabama,JUCO: Division 1,AL,"Kingston, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/chancebrowngedb?view=gamelog&pos=p
Jaden Brown,IF,R,R,Freshman,Iowa Western,JUCO: Division 1,IA,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/jadenbrownp6fu?view=gamelog&pos=h
Blake Buckle,OF-C,,,Freshman,Northwest Florida State,JUCO: Division 1,FL,"Milton, Ontario",
Jake Bucovetsky,OF/1B,,,Freshman,Highland (KS),JUCO: Division 1,KS,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/jbucovetski6y9c?view=gamelog&pos=h
"Homer Bush, Jr.",OF,R,R,Freshman,Grand Canyon University,NCAA: Division 1,AZ,"Toronto, Ontario / Southlake, Texas",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=1104&stats_player_seq=2467009
Jean-Luc Bussieres,C,R,R,Freshman,Barton,JUCO: Division 1,KS,"Edmonton, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/jeanlucbussieres8zzw?view=gamelog&pos=h
Jamie Cabral,OF,,,Freshman,Sussex County,JUCO: Division 2,NJ,"Woodbridge, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/jamiecabralfhqc?view=gamelog&pos=h
Williams Camacho-Soto,3B/OF,,,Freshman,Cloud County,JUCO: Division 1,KS,"Burnaby, British Columbia",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/williamscamachosotod3bz
Kevin Campbell,P,,,Freshman,Onondaga,JUCO: Division 3,NY,"Uxbridge, Ontario",
Liam Carey,RHP,R,R,Freshman,Muskingum University,NCAA: Division 3,OH,"Georgetown, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=455&stats_player_seq=2516334&year_stat_category_id=14841
Justin Carinci,INF/OF,,,Freshman,Highland (KS),JUCO: Division 1,KS,"Toronto, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/jcarincixr5v?view=gamelog&pos=h
Noah Case,3B,R,R,Freshman,Murray State,JUCO: Division 2,OK,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/noahcaseup9s?view=gamelog&pos=h
Connor Caskenette,C/OF,R,R,Freshman,Cochise,JUCO: Division 1,AZ,"Duncan, British Columbia",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/connorcaskenetteyg1w?view=gamelog&pos=h
Ronnel Castro,INF,R,R,Freshman,Frontier,JUCO: Division 1,IL,"Kelowna, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/ronnelcastroxw8c?view=gamelog&pos=h
Eric Chartier,INF,,,Freshman,University of Charleston,NCAA: Division 2,WV,"Newmarket, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=1013&stats_player_seq=2343393
Felix Chenier-Rondeau,OF,L,L,Freshman,Cowley,JUCO: Division 1,KS,"Quebec, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div1/players/felixchenierrondeauaq69?view=gamelog&pos=h
Jason Chiu,IF,R,R,Freshman,North Dakota State University,NCAA: Division 1,ND,"Toronto, Ontario",
Josh Cleggett,C,,,Freshman,Arizona Western,JUCO: Division 1,AZ,"Regina, Saskatchewan",https://www.njcaa.org/sports/bsb/2020-21/div1/players/joshcleggettxop5?view=gamelog&pos=h
Tanner Clyne,,R,R,Freshman,Dakota,JUCO: Division 2,ND,"Boissevain, Manitoba",https://www.njcaa.org/sports/bsb/2020-21/div2/players/tannerclyneha31?view=gamelog&pos=h
Bailey Coish,OF,,,Freshman,Frank Phillips,JUCO: Division 1,TX,"Fort McMurray, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/baileycoish2x53?view=gamelog&pos=h
David Coleman,OF,L,L,Freshman,High Point University,NCAA: Division 1,NC,"Mississauga, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=19651&stats_player_seq=2472991&year_stat_category_id=14840
Khalid Collymore,OF,L,R,Freshman,University of Montevallo,NCAA: Division 2,AL,"Mississauga, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=1238&stats_player_seq=2325240
Connor Cory,P,,,Freshman,Mayville State University,NAIA,ND,"Wawanesa, Manitoba",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1720&plr=196125
Cole Cote,C,R,R,Freshman,Erie,JUCO: Division 3,NY,"Welland, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div3/players/colecotec9ow?view=gamelog&pos=h
Jayden Cull,UTL,,,Freshman,Lyon College,NAIA,AR,"Victoria, British Columbia",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1713&plr=193800
Holden Cumiskey,C/OF,,,Freshman,Cuesta College,California CC,CA,"Langley, British Columbia",
Caelan Cunningham,OF,R,R,Freshman,Lourdes University,NAIA,OH,"Port Dover, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=18711&plr=193863
Brayden Cust,RHP/OF,L,R,Freshman,Colby,JUCO: Division 1,KS,"Edmonton, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/braydencustdgxt?view=gamelog&pos=h
Bret Czarkowski,OF,,,Freshman,Skagit Valley,NW Athletic Conference,WA,Calgary,https://nwacsports.com/sports/bsb/2020-21/players/bretczarkowskipyyd?view=gamelog&pos=h
Alan Dai,UT,R,R,Freshman,Amherst College,NCAA: Division 3,MA,"Coquitlam, British Columbia",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=24&stats_player_seq=2524977
Dustin Davidson,LHP,R,L,Freshman,Douglas,NW Athletic Conference,BC,"Haida Gwaii, British Columbia",https://nwacsports.com/sports/bsb/2020-21/players/dustindavidsonmp9f?view=gamelog&pos=p
Blake Davidson,RHP,,,Freshman,McCook,JUCO: Division 1,NE,"Calgary, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/blakedavidson3lmw?view=gamelog&pos=p
Cedric De Grandpre,RHP,R,R,Freshman,Chipola,JUCO: Division 1,FL,St. Simon,https://www.njcaa.org/sports/bsb/2020-21/div1/players/cedricdegrandpre44wx?view=gamelog&pos=p
Mitchell Dennis,RHP,R,R,Freshman,University of Jamestown,NAIA,ND,"Okotoks, Alberta",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1699&plr=181415
Russell Derbyshire,RHP,R,R,Freshman,Mineral Area,JUCO: Division 1,MO,"Leamington, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/russellderbyshire9wer?view=gamelog&pos=p
Nick DiGennaro,INF,R,R,Freshman,Lourdes University,NAIA,OH,"Oakville, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=18711&plr=193862
Carlin Dick,OF,L,L,Freshman,Canisius College,NCAA: Division 1,NY,"Abbotsford, British Columbia",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=116&stats_player_seq=2466750
Kurt Dillon,RHP,,,Freshman,Galveston,JUCO: Division 1,TX,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/kurtdillone2p0?view=gamelog&pos=p
Matthew Dobberthien,RHP/OF,R,R,Freshman,Colby,JUCO: Division 1,KS,"Calbary, Alberta","https://www.njcaa.org/sports/bsb/2020-21/div1/players/matthewdobberthienui86?view=gamelog&pos=h,https://www.njcaa.org/sports/bsb/2020-21/div1/players/matthewdobberthienui86?view=gamelog&pos=p"
Vicarte Domingo,RHP/IF,R,R,Freshman,University of British Columbia,NAIA,BC,"Vancouver, British Columbia",
Tyren Dorrance,OF,,,Freshman,Taft College,California CC,CA,"Alameda, Saskatchewan",
Haden Dow,LHP,,,Freshman,Cloud County,JUCO: Division 1,KS,"St. John, New Brunswick",
David Draayers,IF,L,R,Freshman,Mount Mercy University,NAIA,IA,"Abbotsford, British Columbia",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1734&plr=199306
Matt Duffy,RHP,L,R,Freshman,Canisius College,NCAA: Division 1,NY,"Burlington, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=116&stats_player_seq=2466749&year_stat_category_id=14841
Nyles Duren,INF,R,R,Freshman,Ohio Valley University,NCAA: Division 2,WV,"Windsor, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=15207&stats_player_seq=2306584
Connor Dykstra,C,,,Freshman,Galveston,JUCO: Division 1,TX,"Toronto, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/connordykstrab5if?view=gamelog&pos=h
Lucas Earle,LHP,L,L,Freshman,Allan Hancock College,California CC,CA,Orillia,https://www.cccaasports.org/sports/bsb/2020-21/players/lucasearlecxvi?view=gamelog&pos=p
Dylan Edmands,IF,,,Freshman,Arizona Western,JUCO: Division 1,AZ,"Regina, Saskatchewan",https://www.njcaa.org/sports/bsb/2020-21/div1/players/dylanedmandsuuvu?view=gamelog&pos=h
Campbell Ellis,LHP,L,L,Freshman,Virginia Commonwealth University,NCAA: Division 1,VA,"Georgetown, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=740&stats_player_seq=2471302&year_stat_category_id=14841
Gregor Farquharson,RHP,,,Freshman,Mayville State University,NAIA,ND,"Saltcoats, Saskatchewan",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1720&plr=199977
Blake Faulds,RHP,R,R,Freshman,Erie,JUCO: Division 3,NY,"Barrie, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/blakefaulds08hu?view=gamelog&pos=p
Nicholas Fazzari,C,,,Freshman,Parkland,JUCO: Division 2,IL,"Thunder Bay, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/nickfazzarid6vv?view=gamelog&pos=h
Anderson Fenton,LHP,R,L,Freshman,Marshalltown,JUCO: Division 1,IA,"Ridgetown, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/andersonfentonnbgv?view=gamelog&pos=p
Matt Ferris,C,,,Freshman,Niagara County,JUCO: Division 3,NY,"Vaughn, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/mattferris3yjc?view=gamelog&pos=h
Chase Florendine,RHP,R,R,Freshman,Illinois State University,NCAA: Division 1,IL,"Lethbridge, Alberta",
Josh Fluet,RHP,R,R,Freshman,Allen County,JUCO: Division 1,KS,"White Rock, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/joshfluetavz9?view=gamelog&pos=p
Travis Frank,LHP,,,Freshman,McCook,JUCO: Division 1,NE,"Terrace, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div1/players/travisfrankfs34?view=gamelog&pos=p
Jackson Fraser,RHP,,,Freshman,LSU Eunice,JUCO: Division 2,LA,"Buena Vista, Saskatchewan",https://www.njcaa.org/sports/bsb/2020-21/div2/players/jacksonfraserlwld?view=gamelog&pos=p
Daniel Freeman,OF,R,R,Freshman,Cornerstone University,NAIA,MI,"Oakville, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=18999&plr=198744
Kyle Froehlich,RHP/IF,L,R,Freshman,Colby,JUCO: Division 1,KS,"Nipawin, Saskatchewan","https://stats.njcaa.org/sports/bsb/2020-21/div1/players/kylefroehlich6pzw?view=gamelog&pos=h,https://stats.njcaa.org/sports/bsb/2020-21/div1/players/kylefroehlich6pzw?view=gamelog&pos=p"
Liam Froment,LHP,,,Freshman,University of North Alabama,NCAA: Division 1,AL,"Morinville, Alberta",
Kieran Gagnon,OF,R,R,Freshman,Gannon University,NCAA: Division 2,PA,"Mono, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=246&stats_player_seq=2348464
Jacob Gajic,LHP,,,Freshman,Highland (KS),JUCO: Division 1,KS,"Hamilton, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/agajicyfft?view=gamelog&pos=p
Nolan Gallagher,INF,R,R,Freshman,Medaille College,NCAA: Division 3,NY,"Hamilton, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=23725&stats_player_seq=2346293
Zach Gardiner,INF/OF,,,Freshman,Marshall University,NCAA: Division 1,WV,"Oakville, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=388&stats_player_seq=2334933
Will Gardner,INF,,,Freshman,Garden City,JUCO: Division 1,KS,St. Albert Alberta,https://www.njcaa.org/sports/bsb/2020-21/div1/players/willgardnericbo?view=gamelog&pos=h
Mac Gatzke,LHP/OF,R,L,Freshman,Douglas,NW Athletic Conference,BC,"North Vancouver, British Columbia","https://nwacsports.com/sports/bsb/2020-21/players/macgatzke1l0m?view=gamelog&pos=h,https://nwacsports.com/sports/bsb/2020-21/players/macgatzke1l0m?view=gamelog&pos=p"
Nick George,UT,S,R,Freshman,William Penn University,NAIA,IA,"Sarnia, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1823&plr=198771
Lucas Gilbert,RHP,R,R,Freshman,North Iowa Area,JUCO: Division 2,IA,"Belleville, Ontario",
Colton Girard,1B,,,Freshman,Taft College,California CC,CA,"St. Albert, Alberta",
Mason Glowacki,IF,R,R,Freshman,East Central University,NCAA: Division 2,OK,"Kelowna, British Columbia",https://stats.ncaa.org/player/index?id=15580&org_id=8965&stats_player_seq=2319807&year_stat_category_id=14840
Logan Grant,IF/C,L,R,Freshman,Bismarck State,JUCO: Division 2,ND,"Calgary, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div2/players/logangranthxxn?view=gamelog&pos=h
Max Grant,C/3B,L,R,Freshman,Canisius College,NCAA: Division 1,NY,"Fredericton, New Brunswick",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=116&stats_player_seq=2466748
Ben Grant,IF,,,Freshman,Chandler-Gilbert,JUCO: Division 2,AZ,"Vancouver, British Columbia",https://www.njcaa.org/sports/bsb/2020-21/div2/players/bengrante8ij?view=gamelog&pos=h
Cody Greenfield,C,R,R,Freshman,Lake Erie College,NCAA: Division 2,OH,"Toronto, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=2746&stats_player_seq=2494846
Caden Griffin,LHP,L,L,Freshman,University of Missouri,NCAA: Division 1,MO,"Ottawa, Ontario",
Simon Grinberg,OF/C,,,Freshman,Crowder,JUCO: Division 1,MO,"Kitchener, Ontario",
Joseph Guzzo,LHP,L,L,Freshman,Genesee,JUCO: Division 3,NY,"Sudbury, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/josephguzzoqos2?view=gamelog&pos=p
Braden Halladay,RHP,R,R,Freshman,Penn State University,NCAA: Division 1,PA,"Odessa, Florida",https://stats.ncaa.org/player/index?id=15580&org_id=539&stats_player_seq=2311790&year_stat_category_id=14841
Thomas Hanik,RHP,R,R,Freshman,Olympic,NW Athletic Conference,WA,"Calgary, Alberta",https://www.nwacsports.com/sports/bsb/2020-21/players/thomashanik339r?view=gamelog&pos=p
Connor Hanley-Hodge,LHP,L,L,Freshman,Newberry College,NCAA: Division 2,SC,"Montreal, Quebec",https://stats.ncaa.org/player/index?id=15580&org_id=1257&stats_player_seq=2497195&year_stat_category_id=14841
Josh Hare,INF,R,R,Freshman,Lourdes University,NAIA,OH,"Simcoe, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=18711&plr=186812
Andrew Haynes,RHP,R,R,Freshman,Shippensburg University,NCAA: Division 2,PA,"Toronto, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=638&stats_player_seq=2331484&year_stat_category_id=14841
Andrew Hazell,RHP,R,R,Freshman,Mars Hill University,NCAA: Division 2,NC,"Brantford, Ontario",https://stats.ncaa.org/player/index?id=15580&org_id=1199&stats_player_seq=2302349&year_stat_category_id=14841
Thomas Hemer,RHP,,,Freshman,College of the Canyons,California CC,CA,"Vancouver, British Columbia",
Tyler Hinrikus,3B/OF,R,R,Freshman,Ball State University,NCAA: Division 1,IN,"Waterloo, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=47&stats_player_seq=2471730
Alex Hobgood,C,R,R,Freshman,University of Hawaii at Hilo,NCAA: Division 2,HI,"Ottawa, Ontario",
Tanner Hodgson,OF,L,R,Freshman,Mars Hill University,NCAA: Division 2,NC,"Burlington, Ontario",https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=15580&org_id=1199&stats_player_seq=2302350
Nick Holdershaw,OF,,,Freshman,University of Dubuque,NCAA: Division 3,IA,"Langley, British Columbia",
Drew Howard,RHP,R,R,Freshman,Chipola,JUCO: Division 1,FL,Whitby,https://stats.njcaa.org/sports/bsb/2020-21/div1/players/drewhoward31py?view=gamelog&pos=p
Dylan Howard,C,,,Freshman,Frank Phillips,JUCO: Division 1,TX,"London, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/dylanhowardc9rh?view=gamelog&pos=h
Brady Howg,RHP,R,R,Freshman,Northeastern,JUCO: Division 1,CO,"Vauxhall, Alberta",https://www.njcaa.org/sports/bsb/2019-20/div1/players/bradyhowgt0c2?view=gamelog&pos=p
Ben Hubert,RHP,R,R,Freshman,Kellogg,JUCO: Division 2,MI,"Komoka, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div2/players/benhubert1f8u?view=gamelog&pos=p
Noah Hull,IF/OF,L,R,Freshman,Iowa Western,JUCO: Division 1,IA,"Scarborough, Ontario",https://www.njcaa.org/sports/bsb/2020-21/div1/players/noahhullx29o?view=gamelog&pos=h
Justin Humenay,RHP,R,R,Freshman,Virginia Commonwealth University,NCAA: Division 1,VA,Montreal,https://stats.ncaa.org/player/index?id=15580&org_id=740&stats_player_seq=2471305&year_stat_category_id=14841
Dawson Hurford,RHP,R,R,Freshman,Western Nebraska,JUCO: Division 1,NE,"Victoria, British Columbia",https://www.njcaa.org/sports/bsb/2019-20/div1/players/dawsonhurfordk6by?view=gamelog&pos=p
Will Ireland,IF,R,R,Freshman,Orange Coast College,California CC,CA,Sentinel,https://www.cccaasports.org/sports/bsb/2020-21/players/willireland6bpc?view=gamelog&pos=h
Josh Ironside,RHP,R,R,Freshman,Marshalltown,JUCO: Division 1,IA,"St. Albert, Alberta",https://www.njcaa.org/sports/bsb/2020-21/div1/players/joshironsideckne?view=gamelog&pos=p
Connor Irvine,RHP,,,Freshman,Lassen College,California CC,CA,"Victoria, British Columbia",https://www.cccaasports.org/sports/bsb/2020-21/players/connorirvine9yde?view=gamelog&pos=p
Blake Jacklin,OF,L,R,Freshman,Davenport University,NCAA: Division 2,MI,"St. Jacobs, Ontario",
Will Jackman,RHP,,,Freshman,Niagara County,JUCO: Division 3,NY,"Niagara Falls, Ontario",https://stats.njcaa.org/sports/bsb/2020-21/div3/players/willjackmankw4w?view=gamelog&pos=p
Jacob Jackson,INF,R,R,Freshman,Siena Heights University,NAIA,MI,"Ajax, Ontario",http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=MBA&sea=NAIMBA_2021&team=1773&plr=190134
